vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
611825,Channasettihalli,Gubbi,140,93,112.7,74,297,13.3219,76.9356
611704,Chelur,Gubbi,547,403,685.2,98,783,13.4391,76.9125
611692,Chelur A K,Gubbi,207,179,276.6,85,419,13.45,76.9152
611673,Chichikka Hedigehalli,Gubbi,159,107,159.0,19,240,13.5461,76.8854
611885,Chikka Kattigenahalli,Gubbi,114,72,78.6,46,193,13.2528,76.9166
611822,Chikka Nettagunte,Gubbi,175,87,122.7,11,315,13.3447,76.9624
611944,Chikka Yadiyur,Gubbi,2,2,1.9,0,99,13.1239,76.8664
611836,Chikkonahalli,Gubbi,244,197,289.2,83,361,13.2966,76.944
611716,Chindigere,Gubbi,143,93,109.5,3,188,13.4252,76.9618
611957,Chiranahalli,Gubbi,181,118,162.2,7,126,13.1228,76.9641
611621,Chitaranahalli,Gubbi,52,28,30.0,98,224,13.5603,76.8501
611644,Chittappanahalli,Gubbi,46,34,42.3,43,192,13.4941,76.7732
611815,Chokkanahalli,Gubbi,118,69,125.3,100,166,13.3702,76.9699
611670,Dasappanahalli,Gubbi,148,103,136.9,28,612,13.5344,76.8749
611889,Dasarakallahalli,Gubbi,183,123,136.2,1,183,13.2346,76.8812
611672,Devarahalli,Gubbi,132,109,128.6,14,198,13.5602,76.8918
611832,Dhalanhallipalya,Gubbi,104,67,50.2,13,70,13.3036,76.9743
611791,Didagadahalli,Gubbi,156,103,141.6,79,168,13.3072,76.7676
611928,Dodda Changavi,Gubbi,195,152,198.3,44,363,13.1753,76.9648
611671,Dodda Hedigehalli,Gubbi,141,96,166.0,77,316,13.5507,76.8738
611817,Dodda Nettagunte,Gubbi,181,119,212.5,17,332,13.3569,76.9763
611821,Dodda Nettagunte Ak,Gubbi,113,82,138.9,35,106,13.3461,76.9691
611787,Doddaguni,Gubbi,198,136,192.9,81,454,13.3276,76.7661
611847,Dodderi,Gubbi,290,148,286.1,26,299,13.2622,76.9559
611929,Dollenahalli,Gubbi,257,143,123.7,40,159,13.176,76.9765
611862,Donneri,Gubbi,55,42,103.0,84,153,13.2923,76.8257
611630,G.Geddala Halli,Gubbi,39,24,33.4,13,579,13.5182,76.8395
611856,Galga,Gubbi,220,131,227.5,93,459,13.2141,76.9781
611732,Galigekere,Gubbi,2,2,4.0,50,327,13.4421,76.7623
611639,Galigekere,Gubbi,255,153,248.0,36,632,13.4684,76.7381
611870,Gangasandra,Gubbi,143,79,104.8,57,381,13.2582,76.8195
611740,Garehalli,Gubbi,88,66,102.9,89,161,13.4016,76.8551
611720,Gauripura,Gubbi,301,229,366.1,80,682,13.3888,76.9338
611721,Gauripura,Gubbi,10,10,25.7,30,21,13.38,76.908
611883,Golenahalli,Gubbi,26,23,25.4,73,126,13.2695,76.9035
611852,Gollahalli,Gubbi,155,105,149.9,74,167,13.2388,76.9448
611809,Gollahalli,Gubbi,241,89,109.9,92,217,13.3449,76.8905
611805,Gollarahatti,Gubbi,247,167,335.0,78,312,13.3033,76.8601
611844,Gollarahatti,Gubbi,27,19,22.8,41,122,13.2588,76.9157
611890,Gorjihalli,Gubbi,83,66,56.4,39,98,13.2213,76.8724
803158,Gubbi,Gubbi,268,195,222.4,6,488,13.3091,76.9465
611841,Gubbi Tank,Gubbi,215,186,201.5,56,785,13.2984,76.9332
611725,Guddadahalli,Gubbi,79,66,82.8,18,202,13.4035,76.9598
611634,Guddenahalli,Gubbi,73,58,76.2,97,222,13.5293,76.7646
611636,Hagalvadi,Gubbi,543,353,358.7,27,610,13.5093,76.7561
611769,Halasinanagenahalli,Gubbi,90,71,79.9,99,54,13.3783,76.8531
611770,Halasinanagenahalli,Gubbi,122,88,122.6,1,190,13.3757,76.86
611834,Hale Gubbi,Gubbi,180,126,151.1,38,336,13.29,76.9588
611898,Halenahalli,Gubbi,46,40,69.2,30,129,13.2145,76.8921
611763,Handalagere,Gubbi,109,85,172.5,42,369,13.3551,76.8026
611934,Hanumantapura,Gubbi,171,89,171.4,44,115,13.1508,76.9563
611734,Haradagere,Gubbi,191,111,136.5,69,635,13.416,76.793
611865,Haragadevigudda Kaval,Gubbi,31,24,25.8,23,642,13.2785,76.7947
611616,Haralukatte,Gubbi,67,51,114.8,99,2430,13.5545,76.7651
611804,Haranahalli,Gubbi,51,37,53.9,100,111,13.2989,76.8734
611760,Harenahalli,Gubbi,71,29,75.1,54,400,13.319,76.7184
611916,Haruvesandra,Gubbi,126,85,95.3,31,174,13.1764,76.8958
611712,Haruvesandra,Gubbi,138,67,75.8,1,201,13.4248,76.9213
611824,Haruvesandra,Gubbi,252,140,228.4,50,239,13.3237,76.9182
611838,Herur,Gubbi,134,91,138.7,3,337,13.3028,76.9211
611835,Herur,Gubbi,129,93,105.3,5,160,13.3036,76.9287
611773,Hesarahalli,Gubbi,76,48,66.5,99,115,13.3367,76.8726
611743,Hidakanahalli,Gubbi,218,159,208.3,16,324,13.3973,76.88
611788,Hindiganahalli,Gubbi,120,83,119.1,88,408,13.3268,76.7438
611939,Hindisagere,Gubbi,673,290,336.1,74,449,13.1676,76.8864
611925,Hindisagere Kaval,Gubbi,284,165,174.0,83,756,13.1789,76.9177
611840,Hodalur,Gubbi,193,141,189.7,16,315,13.2928,76.9005
611884,Honnasettihalli,Gubbi,324,194,226.0,58,271,13.257,76.8899
611823,Honnavalli,Gubbi,23,17,27.1,83,347,13.3385,76.9337
611759,Honnenahalli,Gubbi,68,47,53.2,35,229,13.3488,76.7288
611679,Honnenahalli,Gubbi,103,81,79.6,0,207,13.5237,76.9079
611948,Horakere,Gubbi,126,93,93.8,52,227,13.128,76.888
611741,Hosahalli,Gubbi,63,43,53.3,17,126,13.4119,76.864
611761,Hosahalli,Gubbi,151,109,123.6,38,366,13.3372,76.7423
611846,Hosahalli,Gubbi,431,263,512.0,43,708,13.2687,76.9477
611657,Hosakere,Gubbi,373,226,426.2,97,417,13.4414,76.8427
611658,Hosakere,Gubbi,83,62,116.2,88,185,13.4304,76.8512
611938,Hullekere,Gubbi,279,149,215.2,38,332,13.1594,76.9119
611668,Huvinakatte,Gubbi,336,196,217.3,99,1314,13.4923,76.8447
611952,Idugur,Gubbi,229,148,217.3,14,451,13.1107,76.9383
611722,Jainarahalli,Gubbi,53,37,66.8,51,148,13.374,76.9162
611698,Jalguni,Gubbi,116,83,162.4,34,219,13.4544,76.9674
611955,Jalipalya,Gubbi,232,165,227.8,81,162,13.1433,76.9275
611869,Janakadevanahalli,Gubbi,73,47,48.9,27,142,13.274,76.7934
611943,Jannenahalli,Gubbi,102,54,68.5,15,219,13.1438,76.8476
611894,Jiganahalli,Gubbi,174,89,130.6,59,167,13.2144,76.9112
611622,Jogihalli,Gubbi,26,26,37.8,69,74,13.5488,76.8387
611750,Jogihalli,Gubbi,33,27,26.1,55,349,13.3934,76.8222
611687,Jogihalli,Gubbi,162,71,77.9,99,155,13.4764,76.8512
611705,Kachenahalli,Gubbi,76,57,104.2,97,195,13.4415,76.8886
611877,Kadaba,Gubbi,298,192,233.2,61,435,13.2393,76.8648
611901,Kadaba A.K.,Gubbi,979,752,1165.5,76,1296,13.235,76.8701
611717,Kaggere,Gubbi,73,52,63.1,92,135,13.413,76.9604
611707,Kalabettanahalli,Gubbi,9,7,6.1,22,102,13.4181,76.8634
611739,Kalasanahalli,Gubbi,47,41,57.7,83,99,13.3961,76.8437
611875,Kalasettihallihatti,Gubbi,72,51,55.6,58,167,13.2529,76.8475
611860,Kalenahalli,Gubbi,265,213,293.9,70,345,13.1849,76.9501
611618,Kalinganahalli,Gubbi,86,60,89.5,3,1155,13.5811,76.8173
611919,Kallahalli,Gubbi,103,80,83.5,82,311,13.1539,76.8542
611733,Kallanahalli,Gubbi,129,78,130.3,16,585,13.4283,76.7838
611781,Kallenahalli,Gubbi,37,24,48.3,0,32,13.3552,76.8083
611830,Kallipalya,Gubbi,89,67,93.0,39,205,13.3297,76.993
611680,Kallugudi,Gubbi,19,17,44.1,21,554,13.5046,76.9149
611920,Kallur,Gubbi,646,402,597.0,88,996,13.171,76.845
611917,Kambasandra,Gubbi,50,37,58.3,22,132,13.1773,76.8809
611688,Kampanahalli,Gubbi,1,1,1.0,0,412,13.4704,76.8384
611730,Karadi Kaval,Gubbi,24,20,24.0,62,1206,13.3924,76.7509
611655,Karegondanahalli,Gubbi,96,53,95.2,96,175,13.4494,76.8535
611796,Karehalli,Gubbi,86,64,89.3,1,158,13.3245,76.8348
611874,Karigondanahalli,Gubbi,251,145,179.4,97,421,13.2651,76.8434
611710,Kasimata,Gubbi,124,104,141.0,90,114,13.3981,76.9114
611697,Katenahalli,Gubbi,3,3,4.7,100,200,13.458,76.9616
611845,Kattigenahalli,Gubbi,433,212,353.9,31,533,13.2557,76.9348
611949,Kenchanahalli,Gubbi,283,176,246.4,65,485,13.119,76.8804
611807,Kenchanahalli,Gubbi,106,85,92.1,87,149,13.3012,76.8344
611806,Kenchanahalli,Gubbi,61,50,51.8,28,110,13.3061,76.8461
611915,Kenchaviranahalli,Gubbi,60,46,58.6,93,133,13.184,76.8993
611839,Kitnamangala,Gubbi,175,119,174.8,7,214,13.2968,76.9131
611946,Kodagihalli,Gubbi,341,218,275.1,72,134,13.1364,76.8786
611859,Kodagihalli,Gubbi,428,215,426.6,78,394,13.1963,76.9691
611873,Kodihalli,Gubbi,112,67,84.5,8,231,13.2767,76.8319
611914,Kodihalli,Gubbi,153,86,99.3,80,254,13.1881,76.8838
611645,Kodihalli,Gubbi,5,5,2.6,100,131,13.4997,76.7815
611863,Kodimallenahalli,Gubbi,48,38,63.1,100,78,13.2853,76.816
611775,Kodinagenahalli,Gubbi,161,105,102.4,19,265,13.3585,76.8597
611709,Kodiyala,Gubbi,298,173,261.2,22,649,13.419,76.8965
611902,Kommanahalli,Gubbi,302,165,315.1,94,236,13.2348,76.8454
611905,Konaghatta,Gubbi,124,84,116.3,99,301,13.2066,76.8083
611724,Konanakallu,Gubbi,286,178,296.6,47,407,13.3796,76.9466
611887,Konanakere,Gubbi,154,92,118.8,75,326,13.2347,76.9107
611755,Kondli,Gubbi,306,190,234.2,91,1155,13.3673,76.7336
611893,Konemadenahalli,Gubbi,55,44,43.7,85,199,13.2264,76.9159
611886,Koppa,Gubbi,185,137,192.6,72,325,13.2443,76.919
611676,Kumbarahalli,Gubbi,25,25,28.7,72,137,13.5458,76.9217
611780,Kundaranahalli,Gubbi,84,64,90.0,88,126,13.3399,76.8164
611897,Kunnala,Gubbi,104,80,94.2,42,785,13.2058,76.9025
611624,Kuntaramanahalli,Gubbi,255,128,168.2,1,324,13.5428,76.8344
611633,Kurehalli,Gubbi,5,5,3.7,20,863,13.5168,76.7712
611681,Kurubarahalli,Gubbi,68,53,81.4,12,534,13.5086,76.9011
611813,Lakkanahalli,Gubbi,647,334,475.4,87,755,13.361,76.952
611896,Lingammanahalli,Gubbi,137,103,153.0,92,222,13.2,76.9279
611640,Madalapura,Gubbi,18,17,24.8,56,246,13.4885,76.7545
611641,Madalapura,Gubbi,40,30,51.2,82,110,13.4783,76.7559
611772,Madanagatta,Gubbi,106,92,111.3,64,196,13.3478,76.8781
611728,Madavara,Gubbi,123,83,99.8,24,273,13.386,76.9773
611843,Madenahalli,Gubbi,279,170,178.4,9,364,13.2721,76.9221
611686,Madenahalli,Gubbi,356,160,204.3,87,740,13.462,76.8692
611620,Malenahalli,Gubbi,5,5,7.2,40,277,13.5501,76.8689
611693,Malimachanakunte,Gubbi,204,136,153.2,75,470,13.475,76.9051
611855,Mallappanahalli,Gubbi,115,73,80.4,3,241,13.2217,76.9617
611647,Mallasandrakatte,Gubbi,35,33,42.5,43,134,13.4867,76.7837
611745,Mallenahalli,Gubbi,203,142,177.4,93,344,13.3799,76.8981
