vilcode11,village,taluk,parcels,farmers,extent_ha,irrigated_pct,village_area_ha,lat,lon
606169,Ranganathapura,Hiriyur,49,44,120.9,35,726,13.9402,76.7125
606182,Rangapura,Hiriyur,38,21,103.2,100,481,13.8315,76.6256
606089,Rangenahalli,Hiriyur,36,33,85.0,94,792,14.0909,76.7079
606121,Sakkara,Hiriyur,66,50,158.5,100,1075,14.0253,76.8667
606071,Salabommnahalli,Hiriyur,52,33,75.5,90,677,14.0817,76.598
606101,Salahunase,Hiriyur,12,10,34.1,100,531,14.1115,76.7888
606167,Samudradahalli,Hiriyur,51,39,108.1,100,440,13.968,76.7439
606198,Seshappanahalli,Hiriyur,1,1,4.0,100,983,13.7379,76.6031
606109,Shravanagere,Hiriyur,26,23,47.3,100,994,14.0782,76.8555
606090,Sidliankote,Hiriyur,12,9,35.3,92,916,14.0921,76.7154
606155,Somerahalli,Hiriyur,55,42,128.4,100,1116,13.9013,76.6019
606051,Sondekere,Hiriyur,1,1,2.0,100,1304,14.1838,76.5933
606102,Sugur,Hiriyur,30,28,38.5,100,1219,14.114,76.8093
606078,Suragondanahalli,Hiriyur,34,33,90.5,85,1646,14.0075,76.5374
606059,Talavatti,Hiriyur,187,129,199.8,99,1461,14.106,76.5575
606077,Tavandi,Hiriyur,24,20,51.0,100,1327,14.0133,76.5539
606127,Timmalapura,Hiriyur,4,4,4.3,100,181,13.9352,76.767
606166,Toregal Nagenahalli,Hiriyur,5,5,13.8,100,538,13.9744,76.7179
606096,Toreobanahalli,Hiriyur,128,99,215.2,92,359,14.0443,76.7185
606153,Uduvalli,Hiriyur,24,21,52.6,38,540,13.8731,76.5756
606195,Uluvinahalu,Hiriyur,2,2,4.8,50,1024,13.7393,76.5667
606094,Upparahalli,Hiriyur,1,1,0.8,100,295,14.0615,76.698
606168,Upplegere,Hiriyur,1,1,7.4,100,490,13.959,76.7175
606149,Uttare,Hiriyur,6,5,4.7,83,876,13.8653,76.5496
606058,Vaddikere,Hiriyur,9,8,34.9,100,1072,14.1134,76.5933
606146,Vanivilasapura,Hiriyur,35,29,78.3,46,360,13.899,76.4917
606118,Venukalgudda,Hiriyur,535,322,530.2,98,3562,14.0168,76.8127
606200,Viravanagattihalli,Hiriyur,4,4,10.5,75,592,13.774,76.6288
606162,Yerachikkenahalli,Hiriyur,7,5,14.1,100,492,13.907,76.695
606131,Yerakenagenahalli,Hiriyur,2,2,7.1,0,519,13.9167,76.522
