dataset,level,unit,year,area_or_district_or_taluk,crop,value,source_resource_id
horticulture_state_total,state,hectares,2018-19,Karnataka,Green Chillies,41021,02ad6bf0-218a-401b-9e37-a3f5b699dbac
horticulture_state_total,state,hectares,2018-19,Karnataka,Snake Gourd,434,02ad6bf0-218a-401b-9e37-a3f5b699dbac
top_taluk_banana,taluk,hectares,2018-19,Chamarajanagara,Banana,8158,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_banana,taluk,hectares,2018-19,Heggadadevanakote,Banana,4121,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_banana,taluk,hectares,2018-19,Nanjangud,Banana,3667,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_banana,taluk,hectares,2018-19,Holalkere,Banana,2612,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_banana,taluk,hectares,2018-19,Gundlupet,Banana,2422,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_banana,taluk,hectares,2018-19,Sirsi,Banana,1996,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_banana,taluk,hectares,2018-19,Hospet,Banana,1814,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_banana,taluk,hectares,2018-19,Sagara,Banana,1772,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_banana,taluk,hectares,2018-19,Davanagere,Banana,1676,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Srinivaspura,Mango,26190,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Ramanagar,Mango,12757,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Mulabagilu,Mango,11622,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Magadi,Mango,9623,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Gubbi,Mango,7069,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Chinthamani,Mango,6680,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Kolar,Mango,6448,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Tumkur,Mango,6249,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_mango,taluk,hectares,2018-19,Dharwad,Mango,5836,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_grapes,taluk,hectares,2018-19,Tikota,Grapes,6057,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_grapes,taluk,hectares,2018-19,Athani,Grapes,2328,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_grapes,taluk,hectares,2018-19,Chikballapur,Grapes,2015,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_grapes,taluk,hectares,2018-19,Bijapur,Grapes,1721,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_grapes,taluk,hectares,2018-19,Jamakhandi,Grapes,1701,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_grapes,taluk,hectares,2018-19,Babaleshwara,Grapes,1586,bfc85e6a-7165-4758-9143-080db4fddfd1
top_taluk_grapes,taluk,hectares,2018-19,Chadachana,Grapes,948,bfc85e6a-7165-4758-9143-080db4fddfd1
