village,taluk,district,lat,lon,coconut_acres
Lakkanal,Hiiriyur,Chitradurga,13.904412,76.633136,181.15
Lakkavvanahalli,Hiiriyur,Chitradurga,13.92868,76.587159,629.4
Lakkenahalli,Hiiriyur,Chitradurga,13.772175,76.65427,40.67
Layaradasarahalli,Hiiriyur,Chitradurga,13.797004,76.619103,4.25
Madenahalli,Hiiriyur,Chitradurga,13.82039,76.628836,1.85
Malagondanahalli,Hiiriyur,Chitradurga,13.828095,76.657343,14.72
Mallappanahalli,Hiiriyur,Chitradurga,14.066268,76.600206,23.12
Maradidevigere,Hiiriyur,Chitradurga,14.084969,76.4903,24.23
Maradihalli,Hiiriyur,Chitradurga,14.130889,76.537911,43.88
Maskal,Hiiriyur,Chitradurga,13.986721,76.678795,1258.9
Mavinamadu,Hiiriyur,Chitradurga,13.742101,76.661304,41.78
Mayasandra,Hiiriyur,Chitradurga,13.965038,76.567412,235.1
Mekenahalli,Hiiriyur,Chitradurga,13.888922,76.506612,70.83
Metikurke,Hiiriyur,Chitradurga,14.017076,76.587239,56.77
Mungusavalli,Hiiriyur,Chitradurga,14.082962,76.795995,35.42
Myadanahole,Hiiriyur,Chitradurga,13.952106,76.763906,71.35
Myaklurahalli,Hiiriyur,Chitradurga,13.981565,76.615805,53.75
Nandihalli,Hiiriyur,Chitradurga,13.921166,76.678837,331.77
Obalapura,Hiiriyur,Chitradurga,13.798583,76.695633,10.85
Palavvanahalli,Hiiriyur,Chitradurga,14.146605,76.476898,36.38
Paramenahalli,Hiiriyur,Chitradurga,13.879892,76.557956,82.48
Patrehalli,Hiiriyur,Chitradurga,13.931305,76.650667,481.5
Pilalli,Hiiriyur,Chitradurga,13.740242,76.631766,91.53
Pitlali,Hiiriyur,Chitradurga,13.929804,76.700515,299.62
Ramajogihalli,Hiiriyur,Chitradurga,14.170799,76.627285,5.62
Ranganathapura,Hiiriyur,Chitradurga,13.932794,76.721294,376.0
Rangapura,Hiiriyur,Chitradurga,13.835648,76.620064,3.17
Rangenahalli,Hiiriyur,Chitradurga,14.099833,76.702965,64.65
Rayabommanahalli,Hiiriyur,Chitradurga,13.892121,76.685572,80.25
Sakkara,Hiiriyur,Chitradurga,14.026567,76.85793,65.02
Salabommanahalli,Hiiriyur,Chitradurga,14.086962,76.592407,24.62
Salahunase,Hiiriyur,Chitradurga,14.115976,76.789734,24.48
Samudradahalli,Hiiriyur,Chitradurga,13.958908,76.745956,122.97
Sangenahalli,Hiiriyur,Chitradurga,14.074727,76.73302,71.8
Sheshappanahalli,Hiiriyur,Chitradurga,13.732416,76.597586,234.78
Shidlayyanakote,Hiiriyur,Chitradurga,14.100038,76.725777,36.05
Shravanagere,Hiiriyur,Chitradurga,14.070396,76.841974,6.38
Somerahalli,Hiiriyur,Chitradurga,13.901143,76.609576,379.17
Sondekere,Hiiriyur,Chitradurga,14.180594,76.592841,8.3
Suguru,Hiiriyur,Chitradurga,14.105323,76.809518,53.9
Suragondanahalli,Hiiriyur,Chitradurga,13.997453,76.521023,46.15
T Gollahalli,Hiiriyur,Chitradurga,14.128882,76.65095,7.83
T Obenahalli,Hiiriyur,Chitradurga,14.044958,76.717088,205.33
Talavatti,Hiiriyur,Chitradurga,14.097053,76.565112,45.0
Tavandi,Hiiriyur,Chitradurga,14.003523,76.555916,56.17
Timmalapura,Hiiriyur,Chitradurga,13.929913,76.765664,11.07
Uduvalli,Hiiriyur,Chitradurga,13.876005,76.579037,79.03
Uppalagere,Hiiriyur,Chitradurga,13.951043,76.724699,400.42
Upparahalli,Hiiriyur,Chitradurga,14.068016,76.69585,4.15
Vaddanahalli,Hiiriyur,Chitradurga,13.880784,76.677985,41.35
Vaddikere,Hiiriyur,Chitradurga,14.112837,76.594535,4.0
Veeravvanagtihalli,Hiiriyur,Chitradurga,13.77077,76.624478,26.02
Venukallugudda,Hiiriyur,Chitradurga,14.018703,76.802975,182.78
Yalanadu,Hiiriyur,Chitradurga,13.967606,76.695642,512.68
Yalladakere,Hiiriyur,Chitradurga,13.794651,76.554711,350.92
Yaraballi,Hiiriyur,Chitradurga,14.105727,76.631998,7.12
Yarachikkenahalli,Hiiriyur,Chitradurga,13.904895,76.696705,81.97
Yaradakatte,Hiiriyur,Chitradurga,13.978328,76.585904,36.45
Yarakenagenahalli,Hiiriyur,Chitradurga,13.924754,76.52857,120.85
A Chikkalinganahalli,Arsikere,Hassan,13.246379,76.134787,79.2
Adeehalli,Arsikere,Hassan,13.169946,76.190123,148.2
Adihalli,Arsikere,Hassan,13.159884,76.250408,443.82
Aggunda,Arsikere,Hassan,13.332836,76.301086,621.9
Agrahara,Arsikere,Hassan,13.41749,76.150251,148.2
Ahamad?Pura,Arsikere,Hassan,13.485519,76.280223,220.25
Ajjanahalli,Arsikere,Hassan,13.267637,76.313949,169.9
Annapura,Arsikere,Hassan,13.228118,76.279681,159.68
Annaykanahalli,Arsikere,Hassan,13.249348,76.205243,388.63
Anneenahalli,Arsikere,Hassan,13.254556,76.349325,182.2
Appenahalli,Arsikere,Hassan,13.177563,76.217714,24.47
Arakere,Arsikere,Hassan,13.357121,76.133669,428.85
Arehalli,Arsikere,Hassan,13.456426,76.22094,277.82
Attiguddakaval,Arsikere,Hassan,13.291431,76.045124,657.0
B Kammaragatta,Arsikere,Hassan,13.161933,76.178134,67.9
Bachenahalli,Arsikere,Hassan,13.194441,76.313371,95.95
Bageshapura,Arsikere,Hassan,13.157403,76.221325,213.93
Bagilughatta,Arsikere,Hassan,13.405823,76.148279,84.0
Banavara,Arsikere,Hassan,13.40655,76.167404,230.95
Bandihalli,Arsikere,Hassan,13.146518,76.377829,124.6
Banduru,Arsikere,Hassan,13.283974,76.097377,182.92
Basavanahalli,Arsikere,Hassan,13.44893,76.149145,58.55
Basavarajapura,Arsikere,Hassan,13.374792,76.220516,71.72
Battihalli,Arsikere,Hassan,13.503444,76.245683,176.02
Belagumba,Arsikere,Hassan,13.236645,76.303816,371.75
Belavattahalli,Arsikere,Hassan,13.209679,76.246471,192.33
Beluvalli,Arsikere,Hassan,13.359366,76.112585,465.95
Bendekere,Arsikere,Hassan,13.365081,76.212516,490.32
Bennigundihalli,Arsikere,Hassan,13.522145,76.386706,284.2
Bhairagondanahalli,Arsikere,Hassan,13.375901,76.108709,361.52
